,index,Job Title,Salary Estimate,,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,size1,size2,state
1483,1630,ETL QA / Data Analyst,$47K,$73K ,4.2,"Pegasus Knowledge Solutions
4.2","Scottsdale, AZ","Schaumburg, IL",201 to 500 employees,-1,Company - Private,Accounting,Accounting & Legal,$1 to $5 million (USD),-1,-1,201,500, AZ
1484,1631,Data Engineer,$47K,$73K ,4.3,"PeopleNTech LLC
4.3","Chandler, AZ","Vienna, VA",1 to 50 employees,-1,Contract,IT Services,Information Technology,$1 to $5 million (USD),-1,-1,1,50, AZ
1485,1632,Data Engineer,$47K,$73K ,4,"GTN Technical Staffing
4.0","Phoenix, AZ","Dallas, TX",201 to 500 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),"MATRIX Resources, The Insource Group, TEKsystems",-1,201,500, AZ
1486,1633,Medical Lab Scientist - Molecular,$47K,$73K ,3,"Sonora Quest Laboratories
3.0","Phoenix, AZ","Tempe, AZ",1001 to 5000 employees,1997,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),"LabCorp, Theranos",-1,1001,5000, AZ
1487,1634,Physical Scientist,$47K,$73K ,4.2,"U.S. Air Force
4.2","Luke AFB, AZ","Washington, DC",10000+ employees,1947,Government,Federal Agencies,Government,$10+ billion (USD),-1,-1,10000+ employees,, AZ
1488,1635,Data Analyst/Business Analyst with SQL,$47K,$73K ,3.9,"Diverse Lynx
3.9","Phoenix, AZ","Princeton, NJ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,-1,501,1000, AZ
1489,1636,Senior User Experience Research Scientist,$47K,$73K ,3.5,"Exponent
3.5","Phoenix, AZ","Menlo Park, CA",1001 to 5000 employees,1967,Company - Public,Consulting,Business Services,$100 to $500 million (USD),-1,-1,1001,5000, AZ
1490,1637,Data Analyst - Mid-Level,$47K,$73K ,3.5,"The Judge Group, Inc.
3.5","Tempe, AZ","Wayne, PA",1001 to 5000 employees,1970,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Adecco, Kforce",-1,1001,5000, AZ
1491,1638,Senior Data Analyst w/ Collibra,$47K,$73K ,5,"Nucleusteq
5.0","Phoenix, AZ","Phoenix, AZ",201 to 500 employees,2018,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,-1,201,500, AZ
1492,1639,Data Engineer - Brand Program,$47K,$73K ,3.9,"Amazon
3.9","Tempe, AZ","Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",-1,10000+ employees,, AZ
1493,1640,Senior Business Intelligence Data Analyst,$47K,$73K ,3.4,"Shamrock Foods
3.4","Phoenix, AZ","Phoenix, AZ",1001 to 5000 employees,1922,Company - Private,Food & Beverage Manufacturing,Manufacturing,$2 to $5 billion (USD),-1,-1,1001,5000, AZ
1494,1641,Project Regulatory/Risk Data Analyst,$47K,$73K ,3.1,"MUFG
3.1","Tempe, AZ","Tokyo, Japan",10000+ employees,1864,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1,-1,10000+ employees,, AZ
1495,1642,Big Data Engineer,$47K,$73K ,4.1,"Sysmind LLC
4.1","Phoenix, AZ","Princeton Junction, NJ",51 to 200 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,-1,51,200, AZ
1496,1643,Senior Data Engineer,$47K,$73K ,3.9,"thredUP
3.9","Phoenix, AZ","Oakland, CA",1001 to 5000 employees,2009,Company - Private,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,-1,-1,1001,5000, AZ
1497,1644,Senior Thermal Modeling Engineer,$47K,$73K ,4.6,"Nikola Motor Company
4.6","Phoenix, AZ","Phoenix, AZ",201 to 500 employees,2014,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Less than $1 million (USD),-1,-1,201,500, AZ
1498,1645,Data Engineer - Azure,$47K,$73K ,3.4,"Cable One
3.4","Phoenix, AZ","Phoenix, AZ",1001 to 5000 employees,1986,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$500 million to $1 billion (USD),-1,-1,1001,5000, AZ
1499,1646,Big Data Engineer/Admin,$47K,$73K ,3.4,"Allstate Insurance - 1202 Irving, TX
3.4","Tempe, AZ","Northbrook, IL",10000+ employees,1931,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Progressive Insurance, State Farm, Farmers Insurance Group",-1,10000+ employees,, AZ
1500,1647,Epic BI & Analytics Manager-Remote,$47K,$73K ,-1,Kforce Technology Staffing,"Phoenix, AZ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, AZ
1501,1648,Data & Analytics Manager,$47K,$73K ,3.6,"COPA Health
3.6","Mesa, AZ","Mesa, AZ",501 to 1000 employees,1957,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD),-1,-1,501,1000, AZ
1502,1649,BIG DATA ENGINEER,$47K,$73K ,4.8,"Metasys Technologies
4.8","Phoenix, AZ","Atlanta, GA",201 to 500 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,-1,201,500, AZ
1503,1650,Senior Data Engineer,$47K,$73K ,3.7,"Axon
3.7","Scottsdale, AZ","Scottsdale, AZ",1001 to 5000 employees,1991,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1,-1,1001,5000, AZ
1504,1651,Senior Big Data Analyst,$47K,$73K ,3.6,"Resourcesoft, Inc.
3.6","Phoenix, AZ","Marlborough, MA",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,-1,51,200, AZ
1505,1652,Data Analyst Senior,$47K,$73K ,4.1,"Kineticom
4.1","Chandler, AZ","San Diego, CA",201 to 500 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),"NEXTGEN GLOBAL RESOURCES, Wavsys, TEKsystems",-1,201,500, AZ
1506,1653,DATA ENGINEER,$47K,$73K ,-1,Swift Corporate,"Phoenix, AZ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, AZ
1507,1654,Data Engineer,$47K,$73K ,4,"ESolutions Inc
4.0","Chandler, AZ","Overland Park, KS",201 to 500 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"Shamrock Trading Corporation, FREIGHTQUOTE, Netsmart",-1,201,500, AZ
1508,1655,Informatica IDQ - Data Engineer II,$84K,$156K ,3.5,"Silicon Valley Bank
3.5","Tempe, AZ","Santa Clara, CA",1001 to 5000 employees,1983,Company - Public,Banks & Credit Unions,Finance,$1 to $2 billion (USD),"First Republic Bank, Comerica",-1,1001,5000, AZ
1509,1656,Data Engineer,$84K,$156K ,-1,Vegatron Systems,"Scottsdale, AZ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, AZ
1510,1657,Data Engineer,$84K,$156K ,3.5,"The Judge Group
3.5","Tempe, AZ","Wayne, PA",1001 to 5000 employees,1970,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Adecco, Kforce",-1,1001,5000, AZ
1511,1658,Forensic Scientist IV - DNA,$84K,$156K ,3.1,"Arizona Department of Public Safety
3.1","Phoenix, AZ","Phoenix, AZ",1001 to 5000 employees,1969,Government,State & Regional Agencies,Government,Unknown / Non-Applicable,-1,-1,1001,5000, AZ
1512,1659,Senior Data Analyst,$84K,$156K ,3.4,"Tech Finders
3.4","Phoenix, AZ","Phoenix, AZ",1 to 50 employees,1998,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,1,50, AZ
1513,1660,Big Data Engineer,$84K,$156K ,3.8,"IntraEdge
3.8","Phoenix, AZ","Chandler, AZ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,501,1000, AZ
1514,1661,Big Data Engineer with Strong Java background,$84K,$156K ,-1,Youth Power Technosoft LLC.,"Phoenix, AZ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, AZ
1515,1662,(Data Analyst) BA/BSA,$84K,$156K ,4.1,"InterSources Inc.
4.1","Mesa, AZ","Fremont, CA",51 to 200 employees,2007,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,51,200, AZ
1516,1663,Big-Data Engineer,$84K,$156K ,5,"Nucleusteq
5.0","Phoenix, AZ","Phoenix, AZ",201 to 500 employees,2018,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,-1,201,500, AZ
1517,1664,Senior Data Engineer,$84K,$156K ,4,"Discount Tire
4.0","Scottsdale, AZ","Scottsdale, AZ",10000+ employees,1960,Company - Private,Automotive Parts & Accessories Stores,Retail,$2 to $5 billion (USD),"Big O Tires, Les Schwab Tire Centers, Pep Boys",-1,10000+ employees,, AZ
1518,1665,Big Data Engineer w/ Azure,$84K,$156K ,5,"Nucleusteq
5.0","Phoenix, AZ","Phoenix, AZ",201 to 500 employees,2018,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,-1,201,500, AZ
1519,1666,Big Data Engineer,$84K,$156K ,-1,Callibus Inc,"Phoenix, AZ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, AZ
1520,1667,Big Data Engineer,$84K,$156K ,4,"ISGIT
4.0","Phoenix, AZ","Herndon, VA",51 to 200 employees,-1,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1,-1,51,200, AZ
1521,1668,Financial Data Analyst,$84K,$156K ,4.3,"Na Ali'i
4.3","DC Ranch, AZ","Honolulu, HI",201 to 500 employees,2003,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,201,500, AZ
1522,1669,Senior Data Analyst,$84K,$156K ,-1,Discount Tire Corporate Careers,"Scottsdale, AZ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, AZ
1523,1670,Data Engineer,$84K,$156K ,3.2,"Net2Source
3.2","Phoenix, AZ","Somerset, NJ",1001 to 5000 employees,2007,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,1001,5000, AZ
1524,1671,Card Data Analyst,$84K,$156K ,4,"GTN Technical Staffing
4.0","Tempe, AZ","Dallas, TX",201 to 500 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),"MATRIX Resources, The Insource Group, TEKsystems",-1,201,500, AZ
1525,1672,Big Data Engineer,$84K,$156K ,3.9,"Diverse Lynx
3.9","Phoenix, AZ","Princeton, NJ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,-1,501,1000, AZ
1526,1673,"Job Opening : Data Engineer (Python) @ Chandler, AZ , San Francisco , CA or New Jersey",$84K,$156K ,4,"ESolutions Inc
4.0","Chandler, AZ","Overland Park, KS",201 to 500 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"Shamrock Trading Corporation, FREIGHTQUOTE, Netsmart",-1,201,500, AZ
1527,1674,"Data Analyst- San Antonio, Des Moines",$84K,$156K ,4.1,"Kforce
4.1","Chandler, AZ","Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1,-1,10000+ employees,, AZ
1528,1675,Technical Business/Data Analyst,$84K,$156K ,-1,"Capgemini America, Inc.","Tempe, AZ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, AZ
1529,1676,Adobe Analytics Manager,$84K,$156K ,-1,LiveMindz,"Phoenix, AZ","Dallas, TX",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,51,200, AZ
1530,1677,Sr. Data Engineer,$84K,$156K ,3.8,"Hewlett Packard Enterprise
3.8","Phoenix, AZ","Palo Alto, CA",10000+ employees,2015,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Oracle, Accenture",-1,10000+ employees,, AZ
1531,1678,Federal - Data Engineer - Senior,$84K,$156K ,4.2,"Solekai Systems Corp
4.2","Phoenix, AZ","San Diego, CA",1 to 50 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1,-1,1,50, AZ
1532,1679,Post-Doctoral Magnetic Resonance Research Scientist,$84K,$156K ,4,"Siemens
4.0","Phoenix, AZ","Munich, Germany",10000+ employees,1843,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),"GE, ABB, Philips",-1,10000+ employees,, AZ
1533,1680,Senior Java Visualization Data Engineer,$84K,$156K ,-1,Kforce Technology Staffing,"Phoenix, AZ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, AZ
1534,1681,Senior Data Analyst,$84K,$156K ,-1,Pure Flix Digital,"Scottsdale, AZ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, AZ
1535,1682,Senior Data Analyst,$84K,$156K ,-1,Green Lion Search Group,"Tempe, AZ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, AZ
1536,1683,Senior Java Visualization Data Engineer,$84K,$156K ,4.1,"Kforce
4.1","Phoenix, AZ","Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1,-1,10000+ employees,, AZ
1537,1684,Big Data Engineer,$84K,$156K ,4,"Lorven Technologies Inc
4.0","Phoenix, AZ","Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,-1,1,50, AZ
1538,1690,Big Data Engineer/Admin,$97K,$111K ,-1,"Allstate Insurance - 1202 Irving, TX","Tempe, AZ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, AZ
1539,1691,Greenplum /Big Data Engineer/Architect,$97K,$111K ,3.7,"Infotree Service Inc
3.7","Chandler, AZ","Canton, MI",51 to 200 employees,2004,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,-1,51,200, AZ
1540,1692,Data Engineer II,$97K,$111K ,-1,Discount Tire Corporate Careers,"Scottsdale, AZ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, AZ
1541,1697,Marketing Data Analyst Coordinator,$97K,$111K ,-1,AUDACIOUS STUDIOS LLC,"Tempe, AZ","Tempe, AZ",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,Unknown,, AZ
1542,1698,Big Data Engineer,$97K,$111K ,2.9,"Impetus
2.9","Phoenix, AZ","Aachen, Germany",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,Unknown,, AZ
1543,1699,SQL/SAS Data Analyst,$97K,$111K ,3.6,"Signature Consultants
3.6","Chandler, AZ","Fort Lauderdale, FL",1001 to 5000 employees,1997,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"ComforceHealth, TEKsystems, Allegis Group",-1,1001,5000, AZ
1544,1700,Senior Data Engineer,$97K,$111K ,3.8,"StrongMind
3.8","Chandler, AZ","Chandler, AZ",51 to 200 employees,2000,Company - Private,K-12 Education,Education,Unknown / Non-Applicable,-1,-1,51,200, AZ
1545,1701,Principal Device Modeling Engineer,$97K,$111K ,3.7,"NXP Semiconductors
3.7","Chandler, AZ","Eindhoven, Netherlands",10000+ employees,2006,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 billion (USD),-1,-1,10000+ employees,, AZ
1546,1702,Big Data Engineer,$97K,$111K ,-1,"STM Consulting, Inc.","Phoenix, AZ",-1,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,Unknown,, AZ
1547,1703,Civil Engineer/GIS Data Analyst,$97K,$111K ,3.7,"Stantec
3.7","Chandler, AZ","Edmonton, Canada",10000+ employees,1954,Company - Public,Architectural & Engineering Services,Business Services,$1 to $2 billion (USD),-1,-1,10000+ employees,, AZ
1548,1704,Senior Data Engineer,$97K,$111K ,3.6,"Xoriant Corporation
3.6","Phoenix, AZ","Sunnyvale, CA",1001 to 5000 employees,1990,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"Persistent Systems (India), GlobalLogic, Synechron",-1,1001,5000, AZ
1549,1705,Data Engineer,$97K,$111K ,2.9,"circle k
2.9","Tempe, AZ","Tempe, AZ",10000+ employees,1951,Company - Public,Gas Stations,Retail,$2 to $5 billion (USD),-1,-1,10000+ employees,, AZ
1550,1706,Phoenix Data Science Tutor Jobs,$97K,$111K ,4.2,"Varsity Tutors
4.2","Phoenix, AZ","Saint Louis, MO",201 to 500 employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,201,500, AZ
1551,1707,Data Architect - Azure,$97K,$111K ,2.5,"Matrix Medical Network
2.5","Scottsdale, AZ","Scottsdale, AZ",1001 to 5000 employees,2001,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,1001,5000, AZ
1552,1708,Big Data Engineer,$97K,$111K ,3.7,"Impetus Technologies
3.7","Phoenix, AZ","Los Gatos, CA",1001 to 5000 employees,1991,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,-1,1001,5000, AZ
1553,1709,Senior Data Science Consultant,$97K,$111K ,3.4,"Allstate
3.4","Chandler, AZ","Northbrook, IL",10000+ employees,1931,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Progressive Insurance, State Farm, Farmers Insurance Group",-1,10000+ employees,, AZ
1554,1710,Sr Data Engineer (memSql),$97K,$111K ,3.1,"Clarivoyant, LLC
3.1","Tempe, AZ","Columbus, OH",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,1,50, AZ
1555,1711,Lead of Cybersecurity Data Protection & Analytics,$97K,$111K ,3.6,"Humana
3.6","Phoenix, AZ","Louisville, KY",10000+ employees,1961,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),"Cigna, Aetna, UnitedHealth Group",-1,10000+ employees,, AZ
1556,1712,Director of Data Science,$97K,$111K ,3.7,"DriveTime Automotive Group, Inc.
3.7","Tempe, AZ","Tempe, AZ",5001 to 10000 employees,2002,Company - Private,Vehicle Dealers,Retail,$2 to $5 billion (USD),"CarMax, AutoNation, Sonic Automotive",-1,5001,10000, AZ
1557,1713,Information Security Data Analyst,$97K,$111K ,3.6,"ICST, LLC
3.6","Glendale, AZ","South Portland, ME",501 to 1000 employees,1996,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,501,1000, AZ
1558,1714,Sr Data Engineer,$97K,$111K ,3.2,"Kollasoft Inc.
3.2","Phoenix, AZ","Scottsdale, AZ",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,-1,1,50, AZ
1559,1715,Big Data Engineer II,$84K,$101K ,3.8,"IntraEdge
3.8","Phoenix, AZ","Chandler, AZ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,501,1000, AZ
1560,1717,Senior Data Engineer - Apps Systems Engineer 5,$84K,$101K ,3.6,"Wells Fargo
3.6","Chandler, AZ","San Francisco, CA",10000+ employees,1852,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1,-1,10000+ employees,, AZ
1561,1718,Cyber Security Research Scientist 3 - Sr. Application Pentester,$84K,$101K ,3.6,"Wells Fargo
3.6","Tempe, AZ","San Francisco, CA",10000+ employees,1852,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1,-1,10000+ employees,, AZ
1562,1719,Senior Data Engineer,$84K,$101K ,3.1,"U-Haul
3.1","Phoenix, AZ","Reno, NV",10000+ employees,1945,Company - Public,Truck Rental & Leasing,Transportation & Logistics,$10+ billion (USD),-1,-1,10000+ employees,, AZ
1563,1720,Sr. Data Engineer,$84K,$101K ,3.9,"Diverse Lynx
3.9","Chandler, AZ","Princeton, NJ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,-1,501,1000, AZ
1564,1721,Azure Data Engineer,$84K,$101K ,3.4,"Cable One, Inc.
3.4","Phoenix, AZ","Phoenix, AZ",1001 to 5000 employees,1986,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$500 million to $1 billion (USD),-1,-1,1001,5000, AZ
1565,1723,Senior Data Engineer,$84K,$101K ,3.9,"Diverse Lynx
3.9","Chandler, AZ","Princeton, NJ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,-1,501,1000, AZ
1566,1724,"IT Data Analyst, TS/SCI with Poly",$84K,$101K ,3.8,"AOC Solutions, Inc.
3.8","DC Ranch, AZ","Chantilly, VA",51 to 200 employees,1996,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,-1,51,200, AZ
1567,1725,Lead Data Engineer,$84K,$101K ,3.2,"Blue Rose Technologies
3.2","Tempe, AZ","Bengaluru, India",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,201,500, AZ
1568,1726,Senior Data Engineer (TS/SCI with Polygraph),$84K,$101K ,3.5,"Buchanan & Edwards
3.5","DC Ranch, AZ","Arlington, VA",201 to 500 employees,1998,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,201,500, AZ
1569,1727,Medical Laboratory Scientist (MLS),$84K,$101K ,4.1,"APN Staffing & Employment Solutions
4.1","Gilbert, AZ","Phoenix, AZ",1 to 50 employees,1991,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),-1,-1,1,50, AZ
1570,1728,Lead Data Engineer,$84K,$101K ,4.4,"Auritas LLC
4.4","Tempe, AZ","Sanford, FL",201 to 500 employees,2003,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,201,500, AZ
1571,1729,AWS Data Engineer,$84K,$101K ,3.1,"TekShapers
3.1","Tempe, AZ","Troy, MI",1 to 50 employees,-1,Company - Public,IT Services,Information Technology,$1 to $5 million (USD),-1,-1,1,50, AZ
1572,1730,AWS Data Engineer,$84K,$101K ,4,"Lorven Technologies Inc
4.0","Scottsdale, AZ","Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,-1,1,50, AZ
1573,1731,Senior Data Science Consultant,$84K,$101K ,1,"Allstate Insurance Company
1.0","Chandler, AZ",-1,1 to 50 employees,-1,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,-1,1,50, AZ
1574,1732,Federal-Data Engineer-Architect,$84K,$101K ,3.9,"Accenture
3.9","DC Ranch, AZ","Dublin, Ireland",10000+ employees,1989,Company - Public,Consulting,Business Services,$10+ billion (USD),"Cognizant Technology Solutions, EY, McKinsey & Company",-1,10000+ employees,, AZ
1575,1733,Principal Data Engineer,$84K,$101K ,3.5,"IHS Markit
3.5","Scottsdale, AZ","London, United Kingdom",10000+ employees,2016,Company - Public,Consulting,Business Services,$2 to $5 billion (USD),"Thomson Reuters, International Data Group",-1,10000+ employees,, AZ
1576,1734,Lead Data Engineer,$84K,$101K ,-1,Tech One IT,"Glendale, AZ","Tempe, AZ",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,51,200, AZ
1577,1735,Analytics Consultant 5,$84K,$101K ,5,"AllSTEM Connections
5.0","Tempe, AZ","Ontario, CA",Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,-1,Unknown,, AZ
1578,1736,Azure Data Engineer,$84K,$101K ,4.1,"Kforce
4.1","Tempe, AZ","Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1,-1,10000+ employees,, AZ
1579,1737,Lead Data Engineer,$84K,$101K ,3.8,"Diversant LLC
3.8","Glendale, AZ","Red Bank, NJ",1001 to 5000 employees,2005,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Kforce, Mitchell Martin, Insight Global",-1,1001,5000, AZ
1580,1738,Glendale Data Science Tutor Jobs,$84K,$101K ,4.2,"Varsity Tutors
4.2","Glendale, AZ","Saint Louis, MO",201 to 500 employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,201,500, AZ
1581,1739,Tempe Data Science Tutor Jobs,$84K,$101K ,4.2,"Varsity Tutors
4.2","Tempe, AZ","Saint Louis, MO",201 to 500 employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,201,500, AZ
1582,1740,Scottsdale Data Science Tutor Jobs,$84K,$101K ,4.2,"Varsity Tutors
4.2","Scottsdale, AZ","Saint Louis, MO",201 to 500 employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,201,500, AZ
1583,1741,Senior Data Engineer,$84K,$101K ,4.4,"Adwait Algorithm
4.4","Chandler, AZ","Houston, TX",51 to 200 employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,51,200, AZ
1584,1742,Senior Data Engineer,$84K,$101K ,3.6,"ICST, LLC
3.6","Chandler, AZ","South Portland, ME",501 to 1000 employees,1996,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,501,1000, AZ
1585,1743,Sr. Data Engineer with Strong Python,$84K,$101K ,3.2,"Net2Source Inc.
3.2","Chandler, AZ","Somerset, NJ",1001 to 5000 employees,2007,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,1001,5000, AZ
1586,1744,Mesa Data Science Tutor Jobs,$84K,$101K ,4.2,"Varsity Tutors
4.2","Mesa, AZ","Saint Louis, MO",201 to 500 employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,201,500, AZ
1587,1745,Cloud Data Engineer - Senior Solution Specialist - USDC,$99K,$173K ,3.9,"Deloitte
3.9","Phoenix, AZ","New York, NY",10000+ employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),"Amazon, PwC, McKinsey & Company",-1,10000+ employees,, AZ
1588,1746,Cloud Data Engineer - Solution Specialist - USDC,$99K,$173K ,3.9,"Deloitte & Touche L.L.P.
3.9","Gilbert, AZ","New York, NY",10000+ employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),"Amazon, PwC, McKinsey & Company",-1,10000+ employees,, AZ
1589,1747,Chandler Data Science Tutor Jobs,$99K,$173K ,4.2,"Varsity Tutors
4.2","Chandler, AZ","Saint Louis, MO",201 to 500 employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,201,500, AZ
1590,1748,Sr Big Data Engineer,$99K,$173K ,3.8,"IntraEdge
3.8","Phoenix, AZ","Chandler, AZ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,501,1000, AZ
1591,1749,Gilbert Data Science Tutor Jobs,$99K,$173K ,4.2,"Varsity Tutors
4.2","Gilbert, AZ","Saint Louis, MO",201 to 500 employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,201,500, AZ
1592,1750,Sr. Big Data Engineer,$99K,$173K ,3.1,"Clarivoyant, LLC
3.1","Chandler, AZ","Columbus, OH",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,1,50, AZ
1593,1751,"Real World Science, Data Scientist",$93K,$151K ,4,"AstraZeneca
4.0","Wilmington, DE","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",-1,10000+ employees,, DE
